(D14)1,0,0,(D13)1,0,0,(D12)1,(D12)1,0,0,0,(D11)1,(D11)1,0,(D10)1,(D9)1,(D9)1,0,(D8)1,(D8)1,0,0,0,0,(C12)1,0,0,0,(C11)1,0,(C10)1,(C10)1,0,0,0,(C9)1,(C9)1,0,(C8)1,(C8)1,0,(C7)1,0,0
(D14)1,0,0,(D13)1,0,0,(D12)1,(D12)1,0,0,0,(D11)1,(D11)1,0,(D10)1,(D9)1,(D9)1,0,(D8)1,(D8)1,0,0,0,0,(C12)1,0,0,0,(C11)1,0,(C10)1,(C10)1,0,0,0,(C9)1,(C9)1,0,(C8)1,(C8)1,0,(C7)1,0,0
0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(E17)1,0,(E16)1,(E16)1,(E16)1,(E15)1,(E15)1,(E14)1,(E14)1,(E13)1,(E13)1,(E12)1,(E12)1,(E11)1,(E11)1,(E10)1,(E10)1,0,(E9)1,(E9)1,(E8)1,(E8)1,(E7)1,(E7)1,(E6)1,(E6)1,(E5)1,(E5)1,(E4)1,(E4)1,0,(E3)1,(E2)1,(E2)1,(E2)1,,(E1)1,(E1)1,0,0,0,0,0,0
(E17)1,0,(E16)1,(E16)1,(E16),(E15)1,(E15)1,(E14)1,(E14)1,(E13)1,(E13)1,(E12)1,(E12)1,(E11)1,(E11)1,(E10)1,(E10)1,0,(E9)1,(E9)1,(E8)1,(E8)1,(E7)1,(E7)1,(E6)1,(E6)1,(E5)1,(E5)1,(E4)1,(E4)1,0,(E3)1,(E3)1,(E2)1,(E2)1,,(E1)1,(E1)1,0,0,0,0,0,0
(E17)1,0,(E16)1,(E16)1,(E16),(E15)1,(E15)1,(E14)1,(E14)1,(E13)1,(E13)1,(E12)1,(E12)1,(E11)1,(E11)1,(E10)1,(E10)1,0,(E9)1,(E9)1,(E8)1,(E8)1,(E7)1,(E7)1,(E6)1,(E6)1,(E5)1,(E5)1,(E4)1,(E4)1,0,(E3)1,(E3)1,(E2)1,(E2)1,,(E1)1,(E1)1,0,0,0,0,0,0
(E17)1,4,(E16)1,(E16)1,(E16),4,(E15)1,(E14)1,(E14)1,(E13)1,4,(E12)1,(E12)1,(E11)1,(E11)1,(E10)1,4,4,(E9)1,(E9)1,(E8)1,(E8)1,(E7)1,4,(E6)1,(E6)1,(E5)1,(E5)1,(E4)1,(E4)1,4,(E3)1,(E3)1,(E2)1,(E2)1,,4,(E1)1,0,0,0,0,0,0
